X, Y, Pressure, TiltX, TiltY, Time
395.702044115949,414.660353389537,0.117174029350281,-1110,385,00:06.9130198
399.862339762097,417.293451899757,0.123277634382248,-1110,385,00:06.9442622
404.759902991108,419.241944797321,0.127183943986893,-1117,362,00:06.9598894
411.23732532625,420.505832082227,0.0358739607036114,-1147,246,00:06.9755032
411.605959117681,420.66381799284,0.0534523539245129,-1147,246,00:06.9911299
412.18524078993,421.085113754475,0.118638895452023,-1153,214,00:07.0068937
412.659198521769,421.664395426724,0.179186686873436,-1163,144,00:07.0224902
412.659198521769,421.664395426724,0.2153200507164,-1165,123,00:07.0379961
412.659198521769,421.664395426724,0.249744415283203,-1165,123,00:07.0537600
411.184663356046,421.611733456519,0.276356130838394,-1165,123,00:07.0693355
409.236170458482,420.927127843862,0.300770580768585,-1166,112,00:07.0693355
407.024367709897,419.926550409978,0.319813847541809,-1166,112,00:07.0848780
406.129114216422,419.452592678138,0.323720157146454,-1167,102,00:07.0848780
405.128536782538,418.87331100589,0.327382326126099,-1168,91,00:07.1005000
401.81083265966,416.766832197713,0.340077817440033,-1170,52,00:07.1005000
400.546945374755,415.924240674443,0.344716548919678,-1171,40,00:07.1161256
397.071255341263,413.133156253609,0.356435477733612,-1171,16,00:07.1317369
391.805058320822,408.762212726643,0.365224689245224,-1171,-6,00:07.1317369
390.435847095508,407.603649382146,0.367910265922546,-1171,-6,00:07.1629920
383.221157177503,401.652846749047,0.378164350986481,-1171,-27,00:07.1629920
377.428340455018,396.491973669015,0.388906687498093,-1171,-38,00:07.1786185
373.162720868461,391.699734380413,0.39378958940506,-1171,-38,00:07.1786185
372.162143434577,390.488509065712,0.395742744207382,-1171,-38,00:07.1942415
369.581706894561,387.170804942834,0.401602208614349,-1171,-38,00:07.1942415
368.791777341494,386.117565538746,0.401602208614349,-1171,-48,00:07.2098645
366.737960503522,382.905185356277,0.401602208614349,-1169,-70,00:07.2098645
366.106016861069,381.799283981984,0.404531925916672,-1169,-70,00:07.2254860
364.631481695346,378.323593948493,0.410391390323639,-1169,-70,00:07.2254860
364.210185933711,377.059706663587,0.413565278053284,-1169,-70,00:07.2411091
363.156946529622,373.268044808869,0.423819333314896,-1169,-70,00:07.2411091
362.8936366786,371.898833583555,0.42772564291954,-1169,-70,00:07.2567378
362.209031065943,367.791199907611,0.440176993608475,-1169,-70,00:07.2567378
362.05104515533,366.4746506525,0.445059895515442,-1169,-70,00:07.2723580
361.735073334103,362.367016976556,0.460440993309021,-1169,-70,00:07.2723580
361.524425453286,360.892481810833,0.465079724788666,-1169,-70,00:07.2927647
361.10312969165,356.521538283867,0.478263527154922,-1169,-70,00:07.2927647
360.997805751241,354.783693267121,0.482169836759567,-1169,-70,00:07.3084032
360.523848019402,345.93648227278,0.498283356428146,-1169,-70,00:07.3240256
360.207876198175,339.037764176002,0.509269833564758,-1169,-70,00:07.3240256
360.155214227971,337.247257189052,0.512443721294403,-1169,-70,00:07.3396490
360.102552257766,331.928398198406,0.523674368858337,-1169,-70,00:07.3396490
360.102552257766,330.243215151865,0.527824819087982,-1169,-70,00:07.3552723
360.365862108789,325.872271624899,0.539787888526917,-1169,-70,00:07.3552723
360.471186049197,324.661046310197,0.543694198131561,-1169,-70,00:07.3708959
360.839819840628,321.080032336298,0.554192423820496,-1169,-70,00:07.3708959
360.997805751241,319.9214689918,0.55736631155014,-1169,-70,00:07.3865107
361.419101512877,316.603764868923,0.56054013967514,-1169,-70,00:07.4021331
362.314355006352,312.127497401548,0.564446449279785,-1169,-70,00:07.4177561
363.736228201871,305.544751125996,0.572991549968719,-1119,-57,00:07.4177561
363.946876082689,304.491511721908,0.575921237468719,-1120,-47,00:07.4333891
364.842129576164,301.858413211687,0.578850984573364,-1120,-37,00:07.4333891
365.15810139739,300.963159718212,0.581292450428009,-1120,-26,00:07.4490027
366.264002771683,298.277399237787,0.583245575428009,-1120,-14,00:07.4646699
368.159833699041,294.907033144705,0.585198760032654,-1120,7,00:07.4802614
370.160988566809,291.220695230396,0.585198760032654,-1070,35,00:07.4802614
370.687608268853,290.220117796512,0.585198760032654,-1070,45,00:07.4969632
372.478115255803,287.218385494861,0.585198760032654,-1070,45,00:07.4969632
372.952072987643,286.112484120568,0.587151885032654,-1069,55,00:07.5126047
374.795241944797,282.847441967895,0.589105069637299,-1069,65,00:07.5126047
375.479847557455,281.794202563806,0.589105069637299,-1068,76,00:07.5282486
377.744312276244,279.003118142973,0.591058194637299,-1065,108,00:07.5438522
381.114678369327,275.63275204989,0.594964504241943,-1062,138,00:07.5595000
384.695692343227,272.736343688648,0.598870813846588,-1009,150,00:07.5750880
388.540016168149,270.577202910267,0.603753745555878,-1005,177,00:07.5907108
393.700889248181,268.576048042499,0.607660055160522,-950,194,00:07.6063371
398.22981868576,267.575470608615,0.607660055160522,-899,183,00:07.6219690
404.865226931516,266.627555144936,0.607660055160522,-891,217,00:07.6375925
409.604804249913,266.206259383301,0.607660055160522,-884,244,00:07.6375925
